,Natural Language Query,Generated SQL Query,Result
0,Find the catalog publisher that has the most catalogs.,"SELECT catalog_publisher
FROM Catalogs
GROUP BY catalog_publisher
ORDER BY COUNT(catalog_id) DESC
LIMIT 1;","         catalog_publisher
Russel-Gislason Lemon shop"
1,Find the names and publication dates of all catalogs that have catalog level number greater than 5.,"SELECT catalog_name, date_of_publication 
FROM Catalogs 
WHERE catalog_id IN (
    SELECT catalog_id 
    FROM Catalog_Structure 
    WHERE catalog_level_number > 5
);","catalog_name date_of_publication
 Coffee Bean 2012-04-13 06:37:09
         Jam 2011-07-22 04:57:19"
2,What are the name and publication date of the catalogs with catalog level number above 5?,"SELECT catalog_name, date_of_publication 
FROM Catalogs 
WHERE catalog_id IN (
    SELECT catalog_id 
    FROM Catalog_Structure 
    WHERE catalog_level_number > 5
);","catalog_name date_of_publication
 Coffee Bean 2012-04-13 06:37:09
         Jam 2011-07-22 04:57:19"
3,What are the entry names of catalog with the attribute possessed by most entries.,"SELECT catalog_entry_name 
FROM Catalog_Contents 
WHERE catalog_entry_id IN (
    SELECT catalog_entry_id 
    FROM Catalog_Contents_Additional_Attributes 
    GROUP BY attribute_id 
    ORDER BY COUNT(*) DESC 
    LIMIT 1
)","catalog_entry_name
         Wanglaoji"
4,Find the entry names of the catalog with the attribute that have the most entries.,"SELECT catalog_entry_name 
FROM Catalog_Contents 
WHERE catalog_entry_id IN (
    SELECT catalog_entry_id 
    FROM Catalog_Contents_Additional_Attributes 
    GROUP BY attribute_id 
    ORDER BY COUNT(*) DESC 
    LIMIT 1
)","catalog_entry_name
         Wanglaoji"
5,What is the entry name of the most expensive catalog (in USD)?,"SELECT catalog_entry_name 
FROM Catalog_Contents 
WHERE price_in_dollars = (SELECT MAX(price_in_dollars) FROM Catalog_Contents);","catalog_entry_name
       Sprite Lemo"
6,Find the entry name of the catalog with the highest price (in USD).,"SELECT catalog_entry_name 
FROM Catalog_Contents 
WHERE price_in_dollars = (SELECT MAX(price_in_dollars) FROM Catalog_Contents);","catalog_entry_name
       Sprite Lemo"
7,What is the level name of the cheapest catalog (in USD)?,"SELECT cs.catalog_level_name
FROM Catalog_Structure cs
JOIN Catalog_Contents cc ON cs.catalog_level_number = cc.catalog_level_number
WHERE cc.price_in_dollars = (SELECT MIN(price_in_dollars) FROM Catalog_Contents)","catalog_level_name
          Category"
8,Find the level name of the catalog with the lowest price (in USD).,"SELECT cs.catalog_level_name
FROM Catalog_Structure cs
JOIN Catalog_Contents cc ON cs.catalog_level_number = cc.catalog_level_number
WHERE cc.price_in_dollars = (SELECT MIN(price_in_dollars) FROM Catalog_Contents)","catalog_level_name
          Category"
9,What are the average and minimum price (in Euro) of all products?,"SELECT AVG(price_in_euros) AS average_price, MIN(price_in_euros) AS minimum_price
FROM Catalog_Contents;"," average_price  minimum_price
    492.863333         159.84"
