,Natural Language Query,Generated SQL Query,Result
0,Give me the dates when the max temperature was higher than 85.,"SELECT date 
FROM weather 
WHERE max_temperature_f > 85;","      date
  9/7/2013
 8/30/2013
  9/6/2013
  9/7/2013
  9/9/2013
 9/19/2013
  9/6/2013
  9/7/2013
 8/30/2013
  9/6/2013
  9/7/2013
 9/19/2013
 8/30/2013
  9/6/2013
  9/7/2013
  9/8/2013
  9/9/2013
 9/19/2013
 4/30/2014
 5/13/2014
 5/14/2014
  6/8/2014
 7/25/2014
 4/29/2014
 4/30/2014
  5/1/2014
 5/12/2014
 5/13/2014
 5/14/2014
 5/15/2014
  6/8/2014
  6/9/2014
 6/18/2014
 6/29/2014
 6/30/2014
 7/24/2014
 7/25/2014
 4/29/2014
 4/30/2014
  5/1/2014
 5/12/2014
 5/13/2014
 5/14/2014
 5/15/2014
  6/8/2014
 6/12/2014
 6/18/2014
 6/30/2014
 7/24/2014
 7/25/2014
 4/29/2014
 4/30/2014
  5/1/2014
 5/12/2014
 5/13/2014
 5/14/2014
 5/15/2014
  6/8/2014
 6/14/2014
 6/18/2014
 6/30/2014
 7/25/2014
  4/8/2014
 4/29/2014
 4/30/2014
  5/1/2014
 5/12/2014
 5/13/2014
 5/14/2014
 5/15/2014
  6/8/2014
  6/9/2014
 6/14/2014
 6/18/2014
 6/29/2014
 6/30/2014
 7/14/2014
 7/25/2014
 7/26/2014
 7/27/2014
 8/30/2014
 10/2/2014
 10/3/2014
 10/4/2014
 10/5/2014
10/12/2014
  6/8/2015
 7/19/2015
 7/28/2015
 8/15/2015
 8/16/2015
 8/28/2015
  9/1/2014
 10/2/2014
 10/3/2014
 10/4/2014
 10/5/2014
10/12/2014
 4/30/2015
  6/8/2015
 6/30/2015
 7/19/2015
 7/20/2015
 7/27/2015
 7/28/2015
 8/15/2015
 8/16/2015
 8/17/2015
 8/27/2015
 8/28/2015
  9/1/2014
 10/1/2014
 10/2/2014
 10/3/2014
 10/4/2014
 10/5/2014
10/12/2014
10/18/2014
 1/27/2015
 2/27/2015
 4/27/2015
 4/30/2015
  6/8/2015
 6/30/2015
 7/27/2015
 7/28/2015
  8/8/2015
 8/13/2015
 8/15/2015
 8/27/2015
 9/10/2014
 10/1/2014
 10/2/2014
 10/3/2014
 10/4/2014
 10/5/2014
10/12/2014
 4/30/2015
  5/1/2015
  5/2/2015
  5/3/2015
  6/8/2015
 6/25/2015
 6/30/2015
 7/19/2015
 7/20/2015
 7/28/2015
 8/15/2015
 8/16/2015
 8/27/2015
 8/28/2015
  9/1/2014
 9/10/2014
 9/11/2014
 10/2/2014
 10/3/2014
 10/4/2014
 10/5/2014
 10/6/2014
10/12/2014
10/13/2014
 3/14/2015
 4/30/2015
  6/8/2015
 6/12/2015
 6/25/2015
 6/30/2015
  7/1/2015
 7/19/2015
 7/20/2015
 7/27/2015
 7/28/2015
 7/29/2015
 8/15/2015
 8/16/2015
 8/17/2015
 8/26/2015
 8/27/2015
 8/28/2015"
1,What are the dates with a maximum temperature higher than 85?,"SELECT date 
FROM weather 
WHERE max_temperature_f > 85;","      date
  9/7/2013
 8/30/2013
  9/6/2013
  9/7/2013
  9/9/2013
 9/19/2013
  9/6/2013
  9/7/2013
 8/30/2013
  9/6/2013
  9/7/2013
 9/19/2013
 8/30/2013
  9/6/2013
  9/7/2013
  9/8/2013
  9/9/2013
 9/19/2013
 4/30/2014
 5/13/2014
 5/14/2014
  6/8/2014
 7/25/2014
 4/29/2014
 4/30/2014
  5/1/2014
 5/12/2014
 5/13/2014
 5/14/2014
 5/15/2014
  6/8/2014
  6/9/2014
 6/18/2014
 6/29/2014
 6/30/2014
 7/24/2014
 7/25/2014
 4/29/2014
 4/30/2014
  5/1/2014
 5/12/2014
 5/13/2014
 5/14/2014
 5/15/2014
  6/8/2014
 6/12/2014
 6/18/2014
 6/30/2014
 7/24/2014
 7/25/2014
 4/29/2014
 4/30/2014
  5/1/2014
 5/12/2014
 5/13/2014
 5/14/2014
 5/15/2014
  6/8/2014
 6/14/2014
 6/18/2014
 6/30/2014
 7/25/2014
  4/8/2014
 4/29/2014
 4/30/2014
  5/1/2014
 5/12/2014
 5/13/2014
 5/14/2014
 5/15/2014
  6/8/2014
  6/9/2014
 6/14/2014
 6/18/2014
 6/29/2014
 6/30/2014
 7/14/2014
 7/25/2014
 7/26/2014
 7/27/2014
 8/30/2014
 10/2/2014
 10/3/2014
 10/4/2014
 10/5/2014
10/12/2014
  6/8/2015
 7/19/2015
 7/28/2015
 8/15/2015
 8/16/2015
 8/28/2015
  9/1/2014
 10/2/2014
 10/3/2014
 10/4/2014
 10/5/2014
10/12/2014
 4/30/2015
  6/8/2015
 6/30/2015
 7/19/2015
 7/20/2015
 7/27/2015
 7/28/2015
 8/15/2015
 8/16/2015
 8/17/2015
 8/27/2015
 8/28/2015
  9/1/2014
 10/1/2014
 10/2/2014
 10/3/2014
 10/4/2014
 10/5/2014
10/12/2014
10/18/2014
 1/27/2015
 2/27/2015
 4/27/2015
 4/30/2015
  6/8/2015
 6/30/2015
 7/27/2015
 7/28/2015
  8/8/2015
 8/13/2015
 8/15/2015
 8/27/2015
 9/10/2014
 10/1/2014
 10/2/2014
 10/3/2014
 10/4/2014
 10/5/2014
10/12/2014
 4/30/2015
  5/1/2015
  5/2/2015
  5/3/2015
  6/8/2015
 6/25/2015
 6/30/2015
 7/19/2015
 7/20/2015
 7/28/2015
 8/15/2015
 8/16/2015
 8/27/2015
 8/28/2015
  9/1/2014
 9/10/2014
 9/11/2014
 10/2/2014
 10/3/2014
 10/4/2014
 10/5/2014
 10/6/2014
10/12/2014
10/13/2014
 3/14/2015
 4/30/2015
  6/8/2015
 6/12/2015
 6/25/2015
 6/30/2015
  7/1/2015
 7/19/2015
 7/20/2015
 7/27/2015
 7/28/2015
 7/29/2015
 8/15/2015
 8/16/2015
 8/17/2015
 8/26/2015
 8/27/2015
 8/28/2015"
2,What are the names of stations that have latitude lower than 37.5?,SELECT name FROM station WHERE lat < 37.5;,"                                 name
    San Jose Diridon Caltrain Station
                San Jose Civic Center
               Santa Clara at Almaden
                     Adobe on Almaden
                     San Pedro Square
                 Paseo de San Antonio
                  San Salvador at 1st
                            Japantown
                   San Jose City Hall
                          MLK Library
               SJSU 4th at San Carlos
                        St James Park
             Arena Green / SAP Center
           SJSU - San Salvador at 9th
                    Franklin at Maple
        Redwood City Caltrain Station
              San Mateo County Center
          Redwood City Public Library
             Stanford in Redwood City
          Redwood City Medical Center
              Mountain View City Hall
       Mountain View Caltrain Station
         San Antonio Caltrain Station
                 Evelyn Park and Ride
          San Antonio Shopping Center
     Castro Street and El Camino Real
Rengstorff Avenue / California Street
           Palo Alto Caltrain Station
               University and Emerson
      California Ave Caltrain Station
                 Cowper at University
                        Park at Olive
      Santa Clara County Civic Center
                           Mezes Park
                          Ryland Park"
3,What are the names of all stations with a latitude smaller than 37.5?,SELECT name FROM station WHERE lat < 37.5;,"                                 name
    San Jose Diridon Caltrain Station
                San Jose Civic Center
               Santa Clara at Almaden
                     Adobe on Almaden
                     San Pedro Square
                 Paseo de San Antonio
                  San Salvador at 1st
                            Japantown
                   San Jose City Hall
                          MLK Library
               SJSU 4th at San Carlos
                        St James Park
             Arena Green / SAP Center
           SJSU - San Salvador at 9th
                    Franklin at Maple
        Redwood City Caltrain Station
              San Mateo County Center
          Redwood City Public Library
             Stanford in Redwood City
          Redwood City Medical Center
              Mountain View City Hall
       Mountain View Caltrain Station
         San Antonio Caltrain Station
                 Evelyn Park and Ride
          San Antonio Shopping Center
     Castro Street and El Camino Real
Rengstorff Avenue / California Street
           Palo Alto Caltrain Station
               University and Emerson
      California Ave Caltrain Station
                 Cowper at University
                        Park at Olive
      Santa Clara County Civic Center
                           Mezes Park
                          Ryland Park"
4,"For each city, return the highest latitude among its stations.","SELECT city, MAX(lat) as highest_latitude
FROM station
GROUP BY city;","         city  highest_latitude
Mountain View         37.406940
    Palo Alto         37.448598
 Redwood City         37.491269
San Francisco         37.804770
     San Jose         37.352601"
5,"For each city, what is the highest latitude for its stations?","SELECT city, MAX(lat) as highest_latitude
FROM station
GROUP BY city;","         city  highest_latitude
Mountain View         37.406940
    Palo Alto         37.448598
 Redwood City         37.491269
San Francisco         37.804770
     San Jose         37.352601"
6,Give me the start station and end station for the trips with the three oldest id.,"SELECT start_station_id, end_station_id 
FROM trip 
ORDER BY id ASC 
LIMIT 3;"," start_station_id  end_station_id
               63              69
               66              69
               77              50"
7,What is the station station and end station for the trips with the three smallest ids?,"SELECT start_station_name, end_station_name 
FROM trip 
WHERE id IN (SELECT id FROM trip ORDER BY id ASC LIMIT 3)","      start_station_name                        end_station_name
           Howard at 2nd San Francisco Caltrain 2 (330 Townsend)
South Van Ness at Market San Francisco Caltrain 2 (330 Townsend)
       Market at Sansome    Harry Bridges Plaza (Ferry Building)"
8,What is the average latitude and longitude of stations located in San Jose city?,"SELECT AVG(lat) AS average_latitude, AVG(long) AS average_longitude
FROM station
WHERE city = 'San Jose';"," average_latitude  average_longitude
        37.336414        -121.891606"
9,What is the average latitude and longitude in San Jose?,"SELECT AVG(lat) AS average_latitude, AVG(long) AS average_longitude
FROM station
WHERE city = 'San Jose';"," average_latitude  average_longitude
        37.336414        -121.891606"
