,Gold Queries
0,SELECT first_name FROM people ORDER BY first_name
1,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance
2,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance
3,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121
4,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121
5,SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance)
6,SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance)
7,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date"
8,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date"
9,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance"
10,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance"
11,SELECT date FROM weather WHERE max_temperature_f  >  85
12,SELECT date FROM weather WHERE max_temperature_f  >  85
13,SELECT name FROM station WHERE lat  <  37.5
14,SELECT name FROM station WHERE lat  <  37.5
15,"SELECT city ,  max(lat) FROM station GROUP BY city"
16,"SELECT city ,  max(lat) FROM station GROUP BY city"
