Country,Year,Life expectancy at birth for both sexes (years)
Hungary,2010.0,74.5
Hungary,2015.0,75.7
Iceland,2010.0,81.7
Iceland,2015.0,82.4
India,2010.0,66.9
India,2015.0,69.6
Indonesia,2010.0,68.7
Indonesia,2015.0,69.7
Ireland,2010.0,80.5
Ireland,2015.0,81.4
Israel,2010.0,81.7
Israel,2015.0,82.1
Italy,2010.0,82.1
Italy,2015.0,82.5
Jamaica,2010.0,72.6
Jamaica,2015.0,72.4
Japan,2015.0,83.9
Kazakhstan,2010.0,68.1
Kazakhstan,2015.0,70.7
Kenya,2015.0,61.9
Kyrgyzstan,2010.0,68.3
Kyrgyzstan,2015.0,70.0
Latvia,2010.0,73.0
Latvia,2015.0,74.7
Lebanon,2010.0,78.2
Lithuania,2010.0,73.4
Lithuania,2015.0,74.6
Luxembourg,2010.0,80.6
Luxembourg,2015.0,81.8
Madagascar,2015.0,64.3
Malawi,2010.0,56.4
Malaysia,2010.0,74.4
Malaysia,2015.0,75.1
Maldives,2010.0,77.7
Maldives,2015.0,79.7
Malta,2010.0,81.8
Malta,2015.0,83.0
Mauritius,2010.0,74.0
Mauritius,2015.0,75.0
Mexico,2010.0,74.2
Mexico,2015.0,74.7
Mongolia,2010.0,67.2
Mongolia,2015.0,69.5
Morocco,2015.0,72.9
Mozambique,2010.0,54.2
Namibia,2010.0,56.0
Nepal,2010.0,66.8
Nepal,2015.0,67.5
Netherlands (Kingdom of the),2010.0,80.8
Netherlands (Kingdom of the),2015.0,81.5
New Zealand,2010.0,81.1
New Zealand,2015.0,82.0
Nicaragua,2010.0,72.0
Nicaragua,2015.0,73.0
Norway,2010.0,81.0
Norway,2015.0,82.3
Oman,2015.0,77.7
Pakistan,2010.0,64.4
Pakistan,2015.0,65.7
Panama,2015.0,77.5
Paraguay,2010.0,71.9
Paraguay,2015.0,73.2
Peru,2010.0,73.7
Peru,2015.0,75.6
Philippines,2015.0,71.3
Poland,2010.0,76.3
Poland,2015.0,77.4
Portugal,2010.0,80.0
Portugal,2015.0,81.2
Qatar,2010.0,78.4
Qatar,2015.0,80.1
Republic of Korea,2010.0,80.8
Republic of Korea,2015.0,82.6
Republic of Moldova,2010.0,69.4
Republic of Moldova,2015.0,69.2
Romania,2010.0,74.0
Romania,2015.0,74.8
Russian Federation,2015.0,72.1
Rwanda,2010.0,62.5
Rwanda,2015.0,65.3
Saint Lucia,2010.0,72.7
Saint Lucia,2015.0,73.1
Saint Vincent & Grenadines,2010.0,74.7
San Marino,2010.0,82.7
Sao Tome and Principe,2010.0,65.2
Saudi Arabia,2015.0,76.9
Senegal,2010.0,64.6
Senegal,2015.0,66.9
Serbia,2010.0,74.4
Serbia,2015.0,75.8
Sierra Leone,2015.0,57.2
Singapore,2010.0,81.7
Singapore,2015.0,82.8
Slovakia,2010.0,75.5
Slovakia,2015.0,76.6
Slovenia,2010.0,79.7
Slovenia,2015.0,80.8
South Africa,2010.0,58.9
South Africa,2015.0,64.0
Spain,2010.0,82.0
Spain,2015.0,82.6
Sri Lanka,2010.0,73.2
Sri Lanka,2015.0,74.9
Suriname,2015.0,70.8
Sweden,2010.0,81.5
Sweden,2015.0,82.2
Switzerland,2010.0,82.3
Switzerland,2015.0,82.8
Tajikistan,2010.0,67.7
Thailand,2010.0,76.1
Thailand,2015.0,77.7
Timor-Leste,2010.0,65.3
Timor-Leste,2015.0,67.1
Tunisia,2010.0,75.4
Türkiye,2010.0,75.1
Türkiye,2015.0,76.6
Uganda,2010.0,57.1
Uganda,2015.0,61.1
Ukraine,2010.0,70.6
United Arab Emirates,2015.0,79.2
United Kingdom,2010.0,80.4
United Kingdom,2015.0,80.9
United Rep. of Tanzania,2010.0,60.1
United Rep. of Tanzania,2015.0,64.7
United States of America,2015.0,78.9
Uruguay,2015.0,77.5
Uzbekistan,2015.0,70.5
Venezuela (Boliv. Rep. of),2010.0,72.9
Viet Nam,2010.0,73.5
Yemen,2010.0,67.3
Zambia,2010.0,56.8
Zambia,2015.0,61.2
