frame_id,video_id,video_name,timestamp
"video0_0","video0","Exploring the Amazon Rainforest",0
"video0_1000","video0","Exploring the Amazon Rainforest",1000
"video0_2000","video0","Exploring the Amazon Rainforest",2000
"video0_3000","video0","Exploring the Amazon Rainforest",3000
"video0_4000","video0","Exploring the Amazon Rainforest",4000
"video0_5000","video0","Exploring the Amazon Rainforest",5000
"video0_6000","video0","Exploring the Amazon Rainforest",6000
"video0_7000","video0","Exploring the Amazon Rainforest",7000
"video0_8000","video0","Exploring the Amazon Rainforest",8000
"video0_9000","video0","Exploring the Amazon Rainforest",9000
"video0_10000","video0","Exploring the Amazon Rainforest",10000
"video0_11000","video0","Exploring the Amazon Rainforest",11000
"video0_12000","video0","Exploring the Amazon Rainforest",12000
"video0_13000","video0","Exploring the Amazon Rainforest",13000
"video0_14000","video0","Exploring the Amazon Rainforest",14000
"video0_15000","video0","Exploring the Amazon Rainforest",15000
"video0_16000","video0","Exploring the Amazon Rainforest",16000
"video0_17000","video0","Exploring the Amazon Rainforest",17000
"video0_18000","video0","Exploring the Amazon Rainforest",18000
"video0_19000","video0","Exploring the Amazon Rainforest",19000
"video0_20000","video0","Exploring the Amazon Rainforest",20000
"video0_21000","video0","Exploring the Amazon Rainforest",21000
"video0_22000","video0","Exploring the Amazon Rainforest",22000
"video0_23000","video0","Exploring the Amazon Rainforest",23000
"video0_24000","video0","Exploring the Amazon Rainforest",24000
"video0_25000","video0","Exploring the Amazon Rainforest",25000
"video0_26000","video0","Exploring the Amazon Rainforest",26000
"video0_27000","video0","Exploring the Amazon Rainforest",27000
"video0_28000","video0","Exploring the Amazon Rainforest",28000
"video0_29000","video0","Exploring the Amazon Rainforest",29000
"video0_30000","video0","Exploring the Amazon Rainforest",30000
"video0_31000","video0","Exploring the Amazon Rainforest",31000
"video0_32000","video0","Exploring the Amazon Rainforest",32000
"video0_33000","video0","Exploring the Amazon Rainforest",33000
"video0_34000","video0","Exploring the Amazon Rainforest",34000
"video0_35000","video0","Exploring the Amazon Rainforest",35000
"video0_36000","video0","Exploring the Amazon Rainforest",36000
"video0_37000","video0","Exploring the Amazon Rainforest",37000
"video0_38000","video0","Exploring the Amazon Rainforest",38000
"video0_39000","video0","Exploring the Amazon Rainforest",39000
